prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16384,1,64,217.237
16,16384,1,256,216.544
16,16384,1,1024,216.758
16,16384,1,4096,217.695
16,16384,1,16384,221.653
16,16384,2,16,211.434
16,16384,2,64,211.296
16,16384,2,256,211.701
16,16384,2,1024,212.512
16,16384,2,4096,214.496
16,16384,2,16384,218.346
16,16384,4,16,213.525
16,16384,4,64,213.513
16,16384,4,256,214.048
16,16384,4,1024,214.613
16,16384,4,4096,216.608
16,16384,4,16384,221.621
16,16384,8,16,213.877
16,16384,8,64,214.25
16,16384,8,256,214.155
16,16384,8,1024,214.741
16,16384,8,4096,217.642
16,16384,8,16384,224.821
16,16384,16,16,214.998
16,16384,16,64,214.976
16,16384,16,256,214.986
16,16384,16,1024,216.032
16,16384,16,4096,219.861
16,16384,16,16384,234.869
16,16384,32,16,214.176
16,16384,32,64,213.546
16,16384,32,256,213.45
16,16384,32,1024,215.061
16,16384,32,4096,222.625
16,16384,32,16384,251.413
16,16384,64,16,214.261
16,16384,64,64,214.442
16,16384,64,256,214.656
16,16384,64,1024,218.421
16,16384,64,4096,233.674
16,16384,64,16384,289.524
16,16384,128,16,214.389
16,16384,128,64,213.568
16,16384,128,256,216.181
16,16384,128,1024,223.605
16,16384,128,4096,254.144
16,16384,128,16384,362.878
64,0,0,0,14.25
64,0,1,16,19.5407
64,0,1,64,19.403
64,0,1,256,20.6297
64,0,1,1024,21.3437
64,0,1,4096,22.165
64,0,1,16384,27.339
64,0,2,16,21.4403
64,0,2,64,21.5673
64,0,2,256,22.5813
64,0,2,1024,23.4663
64,0,2,4096,24.2027
64,0,2,16384,30.5597
64,0,4,16,22.8487
64,0,4,64,23.0183
64,0,4,256,24.1173
64,0,4,1024,25.1623
64,0,4,4096,25.8447
64,0,4,16384,33.7493
64,0,8,16,23.2963
64,0,8,64,23.243
64,0,8,256,24.5117
64,0,8,1024,25.749
64,0,8,4096,26.966
64,0,8,16384,37.0243
64,0,16,16,23.4247
64,0,16,64,23.4343
64,0,16,256,24.501
64,0,16,1024,25.685
64,0,16,4096,31.5627
64,0,16,16384,46.3037
64,0,32,16,23.2423
64,0,32,64,23.221
64,0,32,256,24.6833
64,0,32,1024,26.656
64,0,32,4096,34.4213
64,0,32,16384,63.8933
64,0,64,16,23.647
64,0,64,64,23.6587
64,0,64,256,25.4507
64,0,64,1024,29.8023
64,0,64,4096,45.1527
64,0,64,16384,100.438
64,0,128,16,24.949
64,0,128,64,25.1417
64,0,128,256,27.5093
64,0,128,1024,35.0933
64,0,128,4096,65.814
64,0,128,16384,173.92
64,16,0,0,14.0693
64,16,1,16,19.1147
64,16,1,64,19.296
64,16,1,256,20.3727
64,16,1,1024,21.483
64,16,1,4096,22.0483
64,16,1,16384,27.3063
64,16,2,16,21.6853
64,16,2,64,21.728
64,16,2,256,22.838
64,16,2,1024,23.8717
64,16,2,4096,24.512
64,16,2,16384,30.6347
64,16,4,16,22.72
64,16,4,64,22.5917
64,16,4,256,23.9993
64,16,4,1024,24.9923
64,16,4,4096,25.9527
64,16,4,16384,33.984
64,16,8,16,23.3703
64,16,8,64,23.285
64,16,8,256,24.3527
64,16,8,1024,25.4493
64,16,8,4096,26.7943
64,16,8,16384,37.333
64,16,16,16,23.3383
64,16,16,64,23.307
64,16,16,256,24.427
64,16,16,1024,25.7487
64,16,16,4096,31.68
64,16,16,16384,46.421
64,16,32,16,23.189
64,16,32,64,23.1467
64,16,32,256,24.682
64,16,32,1024,26.55
64,16,32,4096,34.4953
64,16,32,16384,63.925
64,16,64,16,23.4887
64,16,64,64,23.893
64,16,64,256,25.2693
64,16,64,1024,29.8773
64,16,64,4096,44.9597
64,16,64,16384,100.811
64,16,128,16,24.9707
64,16,128,64,25.1307
64,16,128,256,27.168
64,16,128,1024,35.04
64,16,128,4096,65.9733
64,16,128,16384,174.517
64,64,0,0,14.0373
64,64,1,16,19.264
64,64,1,64,19.1143
64,64,1,256,20.4157
64,64,1,1024,21.29
64,64,1,4096,21.8883
64,64,1,16384,27.3597
64,64,2,16,21.5143
64,64,2,64,21.5147
64,64,2,256,22.528
64,64,2,1024,23.3813
64,64,2,4096,24.2873
