pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
128,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0838,1
128,n<=128,sr<=70%,kvB<=1k,kp<=512,0.1105,1
128,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.0062,1
128,n<=128,sr<=70%,kvB<=1k,kp=0,0.1147,1
128,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0329,1
128,n<=128,sr<=70%,kvB<=4k,kp<=512,0.0029,1
128,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0211,1
128,n<=128,sr<=70%,kvB<=4k,kp=0,0.0002,1
128,n<=128,sr>70%,kvB<=1k,kp<=4k,0.4158,2
128,n<=128,sr>70%,kvB<=1k,kp<=512,0.2753,2
128,n<=128,sr>70%,kvB<=1k,kp<=8k,0.2312,2
128,n<=128,sr>70%,kvB<=1k,kp=0,0.2511,2
128,n<=128,sr>70%,kvB<=4k,kp<=4k,0.0873,2
128,n<=128,sr>70%,kvB<=4k,kp<=512,0.0791,2
128,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0702,2
128,n<=128,sr>70%,kvB<=4k,kp=0,0.0896,2
128,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.2513,2
128,n<=16,sr<=15%,kvB<=1k,kp<=512,0.2274,2
128,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.1866,2
128,n<=16,sr<=15%,kvB<=1k,kp=0,0.61,2
128,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.3731,2
128,n<=16,sr<=15%,kvB<=4k,kp<=512,0.3667,2
128,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.1901,2
128,n<=16,sr<=15%,kvB<=4k,kp=0,0.3737,2
128,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.3539,2
128,n<=16,sr<=40%,kvB<=1k,kp<=512,0.3346,2
128,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.1384,1
128,n<=16,sr<=40%,kvB<=1k,kp=0,0.7318,2
128,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.343,2
128,n<=16,sr<=40%,kvB<=4k,kp<=512,0.3181,2
128,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1515,2
128,n<=16,sr<=40%,kvB<=4k,kp=0,0.3209,2
128,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.6091,1
128,n<=16,sr<=70%,kvB<=1k,kp<=512,0.5115,1
128,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.303,1
128,n<=16,sr<=70%,kvB<=1k,kp=0,0.5817,1
128,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.1987,1
128,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1364,1
128,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.0025,1
128,n<=16,sr<=70%,kvB<=4k,kp=0,0.1915,1
128,n<=16,sr>70%,kvB<=1k,kp<=4k,0.4161,2
128,n<=16,sr>70%,kvB<=1k,kp<=512,0.6347,2
128,n<=16,sr>70%,kvB<=1k,kp<=8k,0.3629,1
128,n<=16,sr>70%,kvB<=1k,kp=0,0.8424,2
128,n<=16,sr>70%,kvB<=4k,kp<=4k,0.2561,2
128,n<=16,sr>70%,kvB<=4k,kp<=512,0.128,2
128,n<=16,sr>70%,kvB<=4k,kp<=8k,-1.4865,2
128,n<=16,sr>70%,kvB<=4k,kp=0,0.0762,2
128,n<=2,sr<=70%,kvB<=1k,kp<=512,1.0277,1
128,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.4696,1
128,n<=2,sr<=70%,kvB<=1k,kp=0,0.9385,1
128,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.4618,1
128,n<=2,sr<=70%,kvB<=4k,kp<=512,0.4172,1
128,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.5153,1
128,n<=2,sr<=70%,kvB<=4k,kp=0,0.5198,1
1024,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0237,2
1024,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0941,2
1024,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0027,2
1024,n<=128,sr<=15%,kvB<=1k,kp=0,0.0846,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0173,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0153,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0033,2
1024,n<=128,sr<=15%,kvB<=4k,kp=0,0.0139,2
1024,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0194,1
1024,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1863,1
1024,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0548,1
1024,n<=128,sr<=40%,kvB<=1k,kp=0,0.2407,1
