prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16384,4,16,213.269
16,16384,4,64,212.608
16,16384,4,256,212.639
16,16384,4,1024,212.842
16,16384,4,4096,215.081
16,16384,4,16384,220.308
16,16384,8,16,213.173
16,16384,8,64,212.906
16,16384,8,256,212.235
16,16384,8,1024,213.035
16,16384,8,4096,215.616
16,16384,8,16384,222.997
16,16384,16,16,212.555
16,16384,16,64,212.916
16,16384,16,256,212.991
16,16384,16,1024,213.044
16,16384,16,4096,218.208
16,16384,16,16384,230.228
16,16384,32,16,212.992
16,16384,32,64,213.056
16,16384,32,256,212.863
16,16384,32,1024,215.477
16,16384,32,4096,221.781
16,16384,32,16384,248.714
16,16384,64,16,212.841
16,16384,64,64,212.96
16,16384,64,256,213.408
16,16384,64,1024,218.091
16,16384,64,4096,233.023
16,16384,64,16384,287.466
16,16384,128,16,211.179
16,16384,128,64,211.594
16,16384,128,256,214.325
16,16384,128,1024,222.976
16,16384,128,4096,252.522
16,16384,128,16384,360.576
64,0,0,0,9.97367
64,0,1,16,15.2963
64,0,1,64,15.2637
64,0,1,256,16.5017
64,0,1,1024,17.3767
64,0,1,4096,17.909
64,0,1,16384,23.083
64,0,2,16,15.7223
64,0,2,64,15.541
64,0,2,256,16.7147
64,0,2,1024,17.7497
64,0,2,4096,17.9947
64,0,2,16384,24.0743
64,0,4,16,15.669
64,0,4,64,15.6587
64,0,4,256,16.832
64,0,4,1024,17.6853
64,0,4,4096,18.454
64,0,4,16384,26.3357
64,0,8,16,15.936
64,0,8,64,16.0107
64,0,8,256,17.013
64,0,8,1024,17.963
64,0,8,4096,18.88
64,0,8,16384,29.5683
64,0,16,16,15.882
64,0,16,64,15.9787
64,0,16,256,17.0563
64,0,16,1024,17.9623
64,0,16,4096,23.5417
64,0,16,16384,38.623
64,0,32,16,16
64,0,32,64,16.0747
64,0,32,256,17.2267
64,0,32,1024,19.1573
64,0,32,4096,27.1993
64,0,32,16384,56.1277
64,0,64,16,16.0427
64,0,64,64,16.1177
64,0,64,256,17.685
64,0,64,1024,22.261
64,0,64,4096,38.762
64,0,64,16384,93.8987
64,0,128,16,17.3337
64,0,128,64,17.3223
64,0,128,256,19.5947
64,0,128,1024,28.832
64,0,128,4096,60.544
64,0,128,16384,168.245
64,16,0,0,10.037
64,16,1,16,15.3283
64,16,1,64,15.8717
64,16,1,256,16.7577
64,16,1,1024,17.355
64,16,1,4096,17.9523
64,16,1,16384,23.264
64,16,2,16,15.3803
64,16,2,64,15.4137
64,16,2,256,16.6617
64,16,2,1024,17.4933
64,16,2,4096,18.1653
64,16,2,16384,23.8613
64,16,4,16,15.6373
64,16,4,64,15.5843
64,16,4,256,16.8747
64,16,4,1024,17.8237
64,16,4,4096,18.6983
64,16,4,16384,26.4637
64,16,8,16,15.8727
64,16,8,64,16.0003
64,16,8,256,17.0987
64,16,8,1024,17.9837
64,16,8,4096,19.019
64,16,8,16384,29.8023
64,16,16,16,16.011
64,16,16,64,15.9047
64,16,16,256,17.1627
64,16,16,1024,18.0263
64,16,16,4096,23.6583
64,16,16,16384,38.751
64,16,32,16,15.9887
64,16,32,64,16.2027
64,16,32,256,17.4187
64,16,32,1024,19.04
64,16,32,4096,27.4667
64,16,32,16384,56.9703
64,16,64,16,16.032
64,16,64,64,16.288
64,16,64,256,17.6423
64,16,64,1024,22.208
64,16,64,4096,38.869
64,16,64,16384,94.3997
64,16,128,16,17.344
64,16,128,64,17.4613
64,16,128,256,19.659
64,16,128,1024,28.992
64,16,128,4096,60.32
64,16,128,16384,168.405
64,64,0,0,9.952
64,64,1,16,15.3917
64,64,1,64,15.3923
64,64,1,256,16.5543
64,64,1,1024,17.4827
64,64,1,4096,17.877
64,64,1,16384,22.784
64,64,2,16,15.392
64,64,2,64,15.4347
64,64,2,256,16.6507
64,64,2,1024,17.3867
64,64,2,4096,18.016
64,64,2,16384,24.2777
64,64,4,16,15.6163
64,64,4,64,15.5203
64,64,4,256,16.7257
64,64,4,1024,17.8137
64,64,4,4096,18.614
64,64,4,16384,26.2937
64,64,8,16,15.7757
64,64,8,64,15.7543
64,64,8,256,17.0457
64,64,8,1024,18.006
64,64,8,4096,18.997
64,64,8,16384,29.4187
64,64,16,16,15.8613
64,64,16,64,15.936
64,64,16,256,17.003
64,64,16,1024,17.8987
64,64,16,4096,23.723
64,64,16,16384,39.04
64,64,32,16,15.9253
64,64,32,64,16.0423
64,64,32,256,17.2477
64,64,32,1024,19.221
