regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,3,0.1875,4.0,2048,512,128,512,200,159.167,158.689,158.433,
mixed,16,3,0.1875,4.0,2048,512,1024,4096,1600,165.024,182.37,173.153,0.4686
mixed,16,3,0.1875,4.0,2048,4096,128,512,200,304.255,304.768,304.448,0.3762
mixed,16,3,0.1875,4.0,2048,4096,1024,4096,1600,310.4,323.359,313.984,0.2766
mixed,16,3,0.1875,4.0,2048,8192,128,512,200,481.887,479.967,481.598,
mixed,16,3,0.1875,4.0,2048,8192,1024,4096,1600,484.896,500.543,484.546,-0.0224
pure,16,4,0.25,4.0,0,0,128,512,224,26.081,31.743,31.839,1.017
pure,16,4,0.25,4.0,0,0,1024,4096,1792,34.527,49.888,43.424,0.5792
mixed,16,4,0.25,4.0,16,0,128,512,224,46.976,52.831,51.902,0.8413
mixed,16,4,0.25,4.0,16,0,1024,4096,1792,54.913,69.923,63.04,0.5414
mixed,16,4,0.25,4.0,16,512,128,512,224,67.168,69.665,68.928,0.7048
mixed,16,4,0.25,4.0,16,512,1024,4096,1792,71.712,87.681,81.089,0.5872
mixed,16,4,0.25,4.0,16,4096,128,512,224,196.287,196.864,196.896,1.0555
mixed,16,4,0.25,4.0,16,4096,1024,4096,1792,201.601,211.008,204.929,0.3538
mixed,16,4,0.25,4.0,16,8192,128,512,224,344.511,347.36,338.239,-2.2015
mixed,16,4,0.25,4.0,16,8192,1024,4096,1792,351.583,359.424,354.816,0.4123
mixed,16,4,0.25,4.0,128,0,128,512,224,50.209,55.102,54.368,0.85
mixed,16,4,0.25,4.0,128,0,1024,4096,1792,66.047,73.214,66.241,0.0271
mixed,16,4,0.25,4.0,128,512,128,512,224,70.464,72.449,71.936,0.7416
mixed,16,4,0.25,4.0,128,512,1024,4096,1792,74.785,90.368,84.287,0.6098
mixed,16,4,0.25,4.0,128,4096,128,512,224,199.391,199.807,199.998,1.4591
mixed,16,4,0.25,4.0,128,4096,1024,4096,1792,204.576,215.391,207.168,0.2397
mixed,16,4,0.25,4.0,128,8192,128,512,224,347.68,351.807,346.91,-0.1866
mixed,16,4,0.25,4.0,128,8192,1024,4096,1792,355.393,368.833,353.085,-0.1717
mixed,16,4,0.25,4.0,1024,0,128,512,224,90.753,93.506,92.351,0.5805
mixed,16,4,0.25,4.0,1024,0,1024,4096,1792,96.094,112.865,105.47,0.5591
mixed,16,4,0.25,4.0,1024,512,128,512,224,110.753,110.081,110.145,
mixed,16,4,0.25,4.0,1024,512,1024,4096,1792,115.585,131.936,123.874,0.5069
mixed,16,4,0.25,4.0,1024,4096,128,512,224,248.448,248.769,247.648,-2.4922
mixed,16,4,0.25,4.0,1024,4096,1024,4096,1792,254.046,264.511,257.311,0.312
mixed,16,4,0.25,4.0,1024,8192,128,512,224,410.398,413.503,415.841,1.753
mixed,16,4,0.25,4.0,1024,8192,1024,4096,1792,417.853,427.744,420.513,0.2689
mixed,16,4,0.25,4.0,2048,0,128,512,224,138.048,137.375,137.856,
mixed,16,4,0.25,4.0,2048,0,1024,4096,1792,144.001,161.952,152.352,0.4652
mixed,16,4,0.25,4.0,2048,512,128,512,224,160.16,158.591,158.848,
mixed,16,4,0.25,4.0,2048,512,1024,4096,1792,165.822,181.761,173.727,0.496
mixed,16,4,0.25,4.0,2048,4096,128,512,224,304.097,306.432,304.576,0.2051
mixed,16,4,0.25,4.0,2048,4096,1024,4096,1792,311.52,323.327,314.495,0.252
mixed,16,4,0.25,4.0,2048,8192,128,512,224,481.858,480.384,480.353,
mixed,16,4,0.25,4.0,2048,8192,1024,4096,1792,483.424,498.783,485.727,0.1499
pure,16,8,0.5,4.0,0,0,128,512,320,29.376,31.808,31.744,0.9737
pure,16,8,0.5,4.0,0,0,1024,4096,2560,37.953,50.786,45.825,0.6134
mixed,16,8,0.5,4.0,16,0,128,512,320,50.528,53.023,52.831,0.923
mixed,16,8,0.5,4.0,16,0,1024,4096,2560,58.24,69.504,65.598,0.6532
mixed,16,8,0.5,4.0,16,512,128,512,320,66.239,70.013,69.79,0.9409
mixed,16,8,0.5,4.0,16,512,1024,4096,2560,74.977,87.264,83.04,0.6562
mixed,16,8,0.5,4.0,16,4096,128,512,320,196.509,197.568,196.895,0.3645
mixed,16,8,0.5,4.0,16,4096,1024,4096,2560,208.702,211.361,206.145,-0.9616
mixed,16,8,0.5,4.0,16,8192,128,512,320,343.744,345.44,350.143,3.773
mixed,16,8,0.5,4.0,16,8192,1024,4096,2560,360.736,359.486,354.977,
mixed,16,8,0.5,4.0,128,0,128,512,320,53.664,55.166,55.425,1.1724
mixed,16,8,0.5,4.0,128,0,1024,4096,2560,60.541,72.671,68.287,0.6386
mixed,16,8,0.5,4.0,128,512,128,512,320,69.408,71.968,72.544,1.225
mixed,16,8,0.5,4.0,128,512,1024,4096,2560,77.662,90.654,84.639,0.537
mixed,16,8,0.5,4.0,128,4096,128,512,320,199.744,199.263,199.743,
mixed,16,8,0.5,4.0,128,4096,1024,4096,2560,210.623,214.4,209.12,-0.3979
mixed,16,8,0.5,4.0,128,8192,128,512,320,351.808,350.56,354.176,
mixed,16,8,0.5,4.0,128,8192,1024,4096,2560,357.601,362.911,354.528,-0.5787
mixed,16,8,0.5,4.0,1024,0,128,512,320,90.338,93.44,93.185,0.9178
mixed,16,8,0.5,4.0,1024,0,1024,4096,2560,100.38,112.576,106.817,0.5278
mixed,16,8,0.5,4.0,1024,512,128,512,320,109.665,109.57,109.728,
mixed,16,8,0.5,4.0,1024,512,1024,4096,2560,119.04,132.161,126.624,0.578
mixed,16,8,0.5,4.0,1024,4096,128,512,320,247.583,248.64,247.423,-0.1514
mixed,16,8,0.5,4.0,1024,4096,1024,4096,2560,259.838,265.344,260.254,0.0756
mixed,16,8,0.5,4.0,1024,8192,128,512,320,414.431,412.383,413.313,
mixed,16,8,0.5,4.0,1024,8192,1024,4096,2560,428.608,434.112,420.865,-1.4068
mixed,16,8,0.5,4.0,2048,0,128,512,320,136.671,137.471,137.79,1.3987
mixed,16,8,0.5,4.0,2048,0,1024,4096,2560,148.158,160.96,154.976,0.5326
mixed,16,8,0.5,4.0,2048,512,128,512,320,157.535,158.24,159.456,2.7248
mixed,16,8,0.5,4.0,2048,512,1024,4096,2560,168.834,181.854,175.937,0.5455
mixed,16,8,0.5,4.0,2048,4096,128,512,320,305.694,306.527,304.321,-1.6483
mixed,16,8,0.5,4.0,2048,4096,1024,4096,2560,317.118,323.583,316.99,-0.0198
mixed,16,8,0.5,4.0,2048,8192,128,512,320,478.238,480.384,480.287,0.9548
mixed,16,8,0.5,4.0,2048,8192,1024,4096,2560,496.222,499.744,487.039,-2.6073
pure,16,12,0.75,4.0,0,0,128,512,416,29.376,31.872,31.904,1.0128
pure,16,12,0.75,4.0,0,0,1024,4096,3328,44.672,49.635,47.328,0.5352
mixed,16,12,0.75,4.0,16,0,128,512,416,50.848,52.352,52.448,1.0638
