pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
128,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0962,2
128,n<=16,sr<=15%,kvB<=4k,kp=0,0.5317,2
128,n<=16,sr<=40%,kvB<=1k,kp<=4k,1.0663,2
128,n<=16,sr<=40%,kvB<=1k,kp<=512,0.8571,2
128,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.1866,1
128,n<=16,sr<=40%,kvB<=1k,kp=0,0.8726,2
128,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.2736,2
128,n<=16,sr<=40%,kvB<=4k,kp<=512,0.6044,2
128,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.0314,2
128,n<=16,sr<=40%,kvB<=4k,kp=0,0.4864,2
128,n<=16,sr<=70%,kvB<=1k,kp<=512,1.225,1
128,n<=16,sr<=70%,kvB<=1k,kp=0,1.1724,1
128,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.3979,1
128,n<=16,sr<=70%,kvB<=4k,kp<=512,0.537,1
128,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.5787,1
128,n<=16,sr<=70%,kvB<=4k,kp=0,0.6386,1
128,n<=16,sr>70%,kvB<=1k,kp<=4k,3.0105,1
128,n<=16,sr>70%,kvB<=1k,kp<=512,0.9938,2
128,n<=16,sr>70%,kvB<=1k,kp=0,1.1981,2
128,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.1781,2
128,n<=16,sr>70%,kvB<=4k,kp<=512,0.4422,2
128,n<=16,sr>70%,kvB<=4k,kp<=8k,-2.3025,1
128,n<=16,sr>70%,kvB<=4k,kp=0,0.4334,2
128,n<=2,sr<=70%,kvB<=1k,kp<=512,0.9524,1
128,n<=2,sr<=70%,kvB<=1k,kp=0,1.4321,1
128,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.9063,1
128,n<=2,sr<=70%,kvB<=4k,kp<=512,0.0852,1
128,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.5526,1
128,n<=2,sr<=70%,kvB<=4k,kp=0,0.0186,1
1024,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.3669,2
1024,n<=128,sr<=15%,kvB<=1k,kp<=512,0.4094,2
1024,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.2575,2
1024,n<=128,sr<=15%,kvB<=1k,kp=0,0.3721,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.3722,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=512,0.3834,2
1024,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.384,2
1024,n<=128,sr<=15%,kvB<=4k,kp=0,0.3725,2
1024,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.3968,1
1024,n<=128,sr<=40%,kvB<=1k,kp<=512,0.4133,1
1024,n<=128,sr<=40%,kvB<=1k,kp<=8k,-0.1489,1
1024,n<=128,sr<=40%,kvB<=1k,kp=0,0.4069,1
1024,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.2964,1
1024,n<=128,sr<=40%,kvB<=4k,kp<=512,0.2935,1
1024,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.3121,1
1024,n<=128,sr<=40%,kvB<=4k,kp=0,0.3133,1
1024,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.4141,4
1024,n<=128,sr<=5%,kvB<=1k,kp<=512,0.3872,4
1024,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.2694,4
1024,n<=128,sr<=5%,kvB<=1k,kp=0,0.377,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.3876,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=512,0.4028,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.3833,4
1024,n<=128,sr<=5%,kvB<=4k,kp=0,0.4021,4
1024,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.3548,1
1024,n<=128,sr<=70%,kvB<=1k,kp<=512,0.2667,1
