prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,4096,2,256,64.1387
16,4096,2,1024,64.6497
16,4096,2,4096,65.9193
16,4096,2,16384,74.2713
16,4096,4,16,64.6293
16,4096,4,64,64.8107
16,4096,4,256,64.4907
16,4096,4,1024,64.8643
16,4096,4,4096,66.933
16,4096,4,16384,77.3437
16,4096,8,16,65.9307
16,4096,8,64,65.994
16,4096,8,256,66.026
16,4096,8,1024,67.2427
16,4096,8,4096,71.349
16,4096,8,16384,86.0373
16,4096,16,16,65.4503
16,4096,16,64,65.5037
16,4096,16,256,65.2907
16,4096,16,1024,67.1997
16,4096,16,4096,75.0827
16,4096,16,16384,104.459
16,4096,32,16,65.76
16,4096,32,64,65.7273
16,4096,32,256,65.5577
16,4096,32,1024,70.603
16,4096,32,4096,85.5897
16,4096,32,16384,141.418
16,4096,64,16,64.7147
16,4096,64,64,64.9703
16,4096,64,256,67.648
16,4096,64,1024,76.7677
16,4096,64,4096,106.56
16,4096,64,16384,215.999
16,4096,128,16,68.8213
16,4096,128,64,68.2027
16,4096,128,256,73.6957
16,4096,128,1024,90.581
16,4096,128,4096,147.018
16,4096,128,16384,366.985
16,16384,0,0,199.851
16,16384,1,16,216.448
16,16384,1,64,213.535
16,16384,1,256,215.861
16,16384,1,1024,214.463
16,16384,1,4096,216.362
16,16384,1,16384,220.575
16,16384,2,16,214.72
16,16384,2,64,214.538
16,16384,2,256,214.592
16,16384,2,1024,215.018
16,16384,2,4096,216.373
16,16384,2,16384,222.656
16,16384,4,16,214.997
16,16384,4,64,215.252
16,16384,4,256,214.176
16,16384,4,1024,214.879
16,16384,4,4096,217.248
16,16384,4,16384,224.714
16,16384,8,16,214.836
16,16384,8,64,214.772
16,16384,8,256,213.781
16,16384,8,1024,214.666
16,16384,8,4096,219.551
16,16384,8,16384,232.255
16,16384,16,16,214.516
16,16384,16,64,214.228
16,16384,16,256,213.984
16,16384,16,1024,216.832
16,16384,16,4096,222.964
16,16384,16,16384,249.717
16,16384,32,16,215.039
16,16384,32,64,214.847
16,16384,32,256,215.328
16,16384,32,1024,220.501
16,16384,32,4096,233.343
16,16384,32,16384,287.381
16,16384,64,16,213.823
16,16384,64,64,214.111
16,16384,64,256,217.131
16,16384,64,1024,225.407
16,16384,64,4096,253.6
16,16384,64,16384,362.346
16,16384,128,16,216.992
16,16384,128,64,217.909
16,16384,128,256,222.261
16,16384,128,1024,239.455
16,16384,128,4096,295.348
16,16384,128,16384,513.951
64,0,0,0,10.1653
64,0,1,16,15.584
64,0,1,64,15.5517
64,0,1,256,16.693
64,0,1,1024,17.6423
64,0,1,4096,18.2297
64,0,1,16384,23.9993
64,0,2,16,15.5517
64,0,2,64,15.606
64,0,2,256,16.736
64,0,2,1024,18.0693
64,0,2,4096,18.656
64,0,2,16384,26.9443
64,0,4,16,16.17
64,0,4,64,16.0747
64,0,4,256,17.0663
64,0,4,1024,18.2723
64,0,4,4096,19.4137
64,0,4,16384,29.8347
64,0,8,16,16.1283
64,0,8,64,16.096
64,0,8,256,17.248
64,0,8,1024,18.2397
64,0,8,4096,24.074
64,0,8,16384,39.0513
64,0,16,16,16.1177
64,0,16,64,16.0747
64,0,16,256,17.3227
64,0,16,1024,19.4237
64,0,16,4096,27.7433
64,0,16,16384,56.8423
64,0,32,16,16.4157
64,0,32,64,16.3943
64,0,32,256,18.0803
64,0,32,1024,22.7097
64,0,32,4096,38.7627
64,0,32,16384,94.3667
64,0,64,16,17.205
64,0,64,64,17.323
64,0,64,256,19.947
64,0,64,1024,29.6533
64,0,64,4096,59.2637
64,0,64,16384,169.012
64,0,128,16,20.566
64,0,128,64,20.3303
64,0,128,256,25.739
64,0,128,1024,42.496
64,0,128,4096,100.031
64,0,128,16384,318.442
64,16,0,0,10.0483
64,16,1,16,15.6797
64,16,1,64,15.5947
64,16,1,256,16.8323
64,16,1,1024,17.7173
64,16,1,4096,18.101
64,16,1,16384,24.1707
64,16,2,16,15.8833
64,16,2,64,15.626
64,16,2,256,16.832
64,16,2,1024,18.0803
64,16,2,4096,18.7207
64,16,2,16384,26.6133
64,16,4,16,16.085
64,16,4,64,16.064
64,16,4,256,17.2157
64,16,4,1024,18.069
64,16,4,4096,19.3493
64,16,4,16384,30.0587
64,16,8,16,16.0647
64,16,8,64,16.096
64,16,8,256,17.259
64,16,8,1024,18.101
64,16,8,4096,24.053
64,16,8,16384,38.965
64,16,16,16,15.9997
64,16,16,64,16.096
64,16,16,256,17.3543
64,16,16,1024,19.2963
64,16,16,4096,27.5307
64,16,16,16384,56.0957
64,16,32,16,16.2233
64,16,32,64,16.5223
64,16,32,256,17.9627
64,16,32,1024,22.9447
64,16,32,4096,38.5497
64,16,32,16384,94.816
64,16,64,16,17.1627
64,16,64,64,17.333
64,16,64,256,19.84
64,16,64,1024,29.8137
64,16,64,4096,59.4663
64,16,64,16384,169.002
64,16,128,16,20.7573
64,16,128,64,20.5223
64,16,128,256,25.8353
64,16,128,1024,42.8053
64,16,128,4096,100.149
64,16,128,16384,318.794
64,64,0,0,10.1223
64,64,1,16,15.424
64,64,1,64,15.456
64,64,1,256,16.651
64,64,1,1024,17.419
64,64,1,4096,18.027
64,64,1,16384,23.9997
64,64,2,16,15.712
64,64,2,64,15.5727
64,64,2,256,16.778
64,64,2,1024,18.144
64,64,2,4096,18.6243
64,64,2,16384,26.9017
64,64,4,16,16.1183
64,64,4,64,15.989
64,64,4,256,17.2907
64,64,4,1024,18.1767
64,64,4,4096,19.296
64,64,4,16384,29.9847
64,64,8,16,16.0427
64,64,8,64,16.0863
64,64,8,256,17.152
64,64,8,1024,18.176
64,64,8,4096,24.075
64,64,8,16384,38.6767
64,64,16,16,15.9893
64,64,16,64,16.0323
64,64,16,256,17.2373
64,64,16,1024,19.1573
64,64,16,4096,27.595
64,64,16,16384,56.2773
64,64,32,16,16.288
64,64,32,64,16.2883
64,64,32,256,18.059
64,64,32,1024,22.6243
64,64,32,4096,38.6883
