regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,4,0.25,4.0,128,0,128,512,224,51.103,57.088,56.671,0.9303
mixed,16,4,0.25,4.0,128,0,1024,4096,1792,66.306,85.12,73.792,0.3979
mixed,16,4,0.25,4.0,128,512,128,512,224,71.648,74.335,74.047,0.8928
mixed,16,4,0.25,4.0,128,512,1024,4096,1792,84.032,102.303,91.648,0.4168
mixed,16,4,0.25,4.0,128,4096,128,512,224,200.577,201.631,200.511,-0.0626
mixed,16,4,0.25,4.0,128,4096,1024,4096,1792,210.239,229.055,217.281,0.3743
mixed,16,4,0.25,4.0,128,8192,128,512,224,351.069,356.801,350.849,-0.0384
mixed,16,4,0.25,4.0,128,8192,1024,4096,1792,362.239,379.265,366.272,0.2369
mixed,16,4,0.25,4.0,1024,0,128,512,224,101.696,104.161,103.678,0.8041
mixed,16,4,0.25,4.0,1024,0,1024,4096,1792,114.752,134.721,122.112,0.3686
mixed,16,4,0.25,4.0,1024,512,128,512,224,122.592,122.561,122.752,
mixed,16,4,0.25,4.0,1024,512,1024,4096,1792,134.56,153.6,140.927,0.3344
mixed,16,4,0.25,4.0,1024,4096,128,512,224,264.67,265.44,265.632,1.2494
mixed,16,4,0.25,4.0,1024,4096,1024,4096,1792,274.111,295.775,282.048,0.3664
mixed,16,4,0.25,4.0,1024,8192,128,512,224,444.544,444.734,443.518,-5.4
mixed,16,4,0.25,4.0,1024,8192,1024,4096,1792,449.408,463.872,454.688,0.365
mixed,16,4,0.25,4.0,2048,0,128,512,224,209.022,210.466,210.274,0.867
mixed,16,4,0.25,4.0,2048,0,1024,4096,1792,221.025,243.266,226.88,0.2633
mixed,16,4,0.25,4.0,2048,512,128,512,224,254.782,256.605,254.4,-0.2095
mixed,16,4,0.25,4.0,2048,512,1024,4096,1792,265.567,289.087,272.831,0.3088
mixed,16,4,0.25,4.0,2048,4096,128,512,224,552.16,551.328,549.63,
mixed,16,4,0.25,4.0,2048,4096,1024,4096,1792,565.983,582.974,562.27,-0.2185
mixed,16,4,0.25,4.0,2048,8192,128,512,224,867.038,867.676,865.857,-1.8511
mixed,16,4,0.25,4.0,2048,8192,1024,4096,1792,881.826,897.628,878.492,-0.211
pure,16,8,0.5,4.0,0,0,128,512,320,29.438,32.8,32.417,0.8861
pure,16,8,0.5,4.0,0,0,1024,4096,2560,48.097,60.608,51.744,0.2915
mixed,16,8,0.5,4.0,16,0,128,512,320,51.104,53.791,53.568,0.917
mixed,16,8,0.5,4.0,16,0,1024,4096,2560,69.535,81.471,73.055,0.2949
mixed,16,8,0.5,4.0,16,512,128,512,320,67.328,71.522,70.784,0.824
mixed,16,8,0.5,4.0,16,512,1024,4096,2560,86.848,99.648,90.559,0.2899
mixed,16,8,0.5,4.0,16,4096,128,512,320,196.577,198.018,197.056,0.3324
mixed,16,8,0.5,4.0,16,4096,1024,4096,2560,213.12,225.439,216.798,0.2986
mixed,16,8,0.5,4.0,16,8192,128,512,320,346.432,354.816,347.68,0.1489
mixed,16,8,0.5,4.0,16,8192,1024,4096,2560,370.111,374.239,369.375,-0.1783
mixed,16,8,0.5,4.0,128,0,128,512,320,54.432,57.504,56.51,0.6764
mixed,16,8,0.5,4.0,128,0,1024,4096,2560,73.567,85.345,76.801,0.2746
mixed,16,8,0.5,4.0,128,512,128,512,320,71.328,74.462,74.977,1.1643
mixed,16,8,0.5,4.0,128,512,1024,4096,2560,91.134,102.302,94.177,0.2725
mixed,16,8,0.5,4.0,128,4096,128,512,320,199.712,201.119,201.28,1.1144
mixed,16,8,0.5,4.0,128,4096,1024,4096,2560,216.32,230.239,221.408,0.3655
mixed,16,8,0.5,4.0,128,8192,128,512,320,356.224,351.487,351.072,
mixed,16,8,0.5,4.0,128,8192,1024,4096,2560,375.168,385.439,369.056,-0.5951
mixed,16,8,0.5,4.0,1024,0,128,512,320,101.218,104.769,104.225,0.8468
mixed,16,8,0.5,4.0,1024,0,1024,4096,2560,120.545,134.111,124.703,0.3065
mixed,16,8,0.5,4.0,1024,512,128,512,320,121.664,122.815,122.847,1.0278
mixed,16,8,0.5,4.0,1024,512,1024,4096,2560,141.121,153.822,143.775,0.209
mixed,16,8,0.5,4.0,1024,4096,128,512,320,264.128,265.087,265.599,1.5339
mixed,16,8,0.5,4.0,1024,4096,1024,4096,2560,281.405,296.032,285.506,0.2804
mixed,16,8,0.5,4.0,1024,8192,128,512,320,443.68,437.152,444.382,
mixed,16,8,0.5,4.0,1024,8192,1024,4096,2560,462.559,469.312,453.184,-1.3883
mixed,16,8,0.5,4.0,2048,0,128,512,320,208.96,210.432,210.112,0.7826
mixed,16,8,0.5,4.0,2048,0,1024,4096,2560,228.832,242.814,231.773,0.2103
mixed,16,8,0.5,4.0,2048,512,128,512,320,254.465,255.199,255.488,1.3937
mixed,16,8,0.5,4.0,2048,512,1024,4096,2560,273.857,290.016,276.191,0.1444
mixed,16,8,0.5,4.0,2048,4096,128,512,320,547.359,548.894,549.151,1.1674
mixed,16,8,0.5,4.0,2048,4096,1024,4096,2560,571.262,580.063,565.728,-0.6288
mixed,16,8,0.5,4.0,2048,8192,128,512,320,865.247,867.328,868.959,1.7838
mixed,16,8,0.5,4.0,2048,8192,1024,4096,2560,886.815,898.432,883.902,-0.2508
pure,16,12,0.75,4.0,0,0,128,512,416,29.696,32.832,32.576,0.9184
pure,16,12,0.75,4.0,0,0,1024,4096,3328,55.039,61.312,55.584,0.0869
mixed,16,12,0.75,4.0,16,0,128,512,416,50.945,54.401,54.046,0.8973
mixed,16,12,0.75,4.0,16,0,1024,4096,3328,76.225,81.47,77.857,0.3112
mixed,16,12,0.75,4.0,16,512,128,512,416,68.225,70.88,71.296,1.1567
mixed,16,12,0.75,4.0,16,512,1024,4096,3328,92.927,98.627,93.886,0.1682
mixed,16,12,0.75,4.0,16,4096,128,512,416,195.839,197.632,197.951,1.1779
mixed,16,12,0.75,4.0,16,4096,1024,4096,3328,219.103,225.244,220.317,0.1977
mixed,16,12,0.75,4.0,16,8192,128,512,416,346.208,346.976,359.842,17.7526
mixed,16,12,0.75,4.0,16,8192,1024,4096,3328,374.911,374.497,371.84,
mixed,16,12,0.75,4.0,128,0,128,512,416,54.592,57.345,57.408,1.0229
mixed,16,12,0.75,4.0,128,0,1024,4096,3328,79.295,85.154,79.901,0.1034
mixed,16,12,0.75,4.0,128,512,128,512,416,71.169,74.176,74.686,1.1696
mixed,16,12,0.75,4.0,128,512,1024,4096,3328,96.51,102.944,98.368,0.2888
mixed,16,12,0.75,4.0,128,4096,128,512,416,200.128,201.02,202.4,2.5471
mixed,16,12,0.75,4.0,128,4096,1024,4096,3328,222.913,228.701,224.447,0.265
mixed,16,12,0.75,4.0,128,8192,128,512,416,350.432,350.976,358.943,15.6452
mixed,16,12,0.75,4.0,128,8192,1024,4096,3328,378.562,373.18,375.103,
mixed,16,12,0.75,4.0,1024,0,128,512,416,101.054,104.736,104.799,1.0171
mixed,16,12,0.75,4.0,1024,0,1024,4096,3328,127.68,134.784,128.224,0.0766
mixed,16,12,0.75,4.0,1024,512,128,512,416,122.43,123.07,123.168,1.1531
mixed,16,12,0.75,4.0,1024,512,1024,4096,3328,146.69,153.408,148.064,0.2045
mixed,16,12,0.75,4.0,1024,4096,128,512,416,265.44,264.321,266.144,
mixed,16,12,0.75,4.0,1024,4096,1024,4096,3328,289.087,296.031,288.928,-0.0229
mixed,16,12,0.75,4.0,1024,8192,128,512,416,443.776,443.583,443.519,
mixed,16,12,0.75,4.0,1024,8192,1024,4096,3328,468.673,473.664,463.519,-1.0327
mixed,16,12,0.75,4.0,2048,0,128,512,416,208.768,210.719,210.528,0.9021
